'y-axis saved as y
'Q,Y2Mn2O7_04032018.raw,Diff,Ycalc,Bkg
0.579340723,959,102.527669,856.472331,856.472331
0.580791024,950,97.6854645,852.314535,852.314535
0.582241306,918,69.8195499,848.18045,848.18045
0.58369157,995,150.930076,844.069924,844.069924
0.585141815,946,106.017193,839.982807,839.982807
0.586592041,958,122.081049,835.918951,835.918951
0.588042249,919,87.1217902,831.87821,831.87821
0.589492438,939,111.139564,827.860436,827.860436
0.590942609,920,96.1345136,823.865486,823.865486
0.592392761,910,90.1067841,819.893216,819.893216
0.593842894,930,114.056518,815.943482,815.943482
0.595293008,974,161.983855,812.016145,812.016145
0.596743103,956,147.888938,808.111062,808.111062
0.598193179,907,102.771905,804.228095,804.228095
0.599643236,881,80.6328946,800.367105,800.367105
0.601093274,835,38.4720436,796.527956,796.527956
0.602543293,850,57.2894883,792.710512,792.710512
0.603993293,888,99.0853638,788.914636,788.914636
0.605443274,893,107.859804,785.140196,785.140196
0.606893235,921,139.612942,781.387058,781.387058
0.608343177,913,135.344911,777.655089,777.655089
0.6097931,860,86.0558399,773.94416,773.94416
0.611243004,868,97.7458601,770.25414,770.25414
0.612692888,825,58.4151005,766.5849,766.5849
0.614142752,874,111.063689,762.936311,762.936311
0.615592597,898,138.691753,759.308247,759.308247
0.617042423,880,124.299418,755.700582,755.700582
0.618492229,884,131.886811,752.113189,752.113189
0.619942015,833,84.454054,748.545946,748.545946
0.621391781,835,90.0012719,744.998728,744.998728
0.622841528,867,125.528587,741.471413,741.471413
0.624291255,813,75.0361206,737.963879,737.963879
0.625740962,792,57.5239937,734.476006,734.476006
0.62719065,804,72.9923259,731.007674,731.007674
0.628640317,845,117.441236,727.558764,727.558764
0.630089964,808,83.8708428,724.129157,724.129157
0.631539592,813,92.2812628,720.718737,720.718737
0.632989199,802,84.6726125,717.327387,717.327387
0.634438786,820,106.045008,713.954992,713.954992
0.635888353,837,126.398563,710.601437,710.601437
0.6373379,783,75.7333917,707.266608,707.266608
0.638787426,777,73.0496076,703.950392,703.950392
0.640236933,758,57.3473226,700.652677,700.652677
0.641686419,746,48.6266482,697.373352,697.373352
0.643135884,779,84.887695,694.112305,694.112305
0.644585329,772,81.1305729,690.869427,690.869427
0.646034754,758,70.3553909,687.644609,687.644609
0.647484158,729,44.5622573,684.437743,684.437743
0.648933541,753,71.7512796,681.24872,681.24872
0.650382904,710,31.9225646,678.077435,678.077435
0.651832247,727,52.0762184,674.923782,674.923782
0.653281568,757,85.2123461,671.787654,671.787654
0.654730869,706,37.3310523,668.668948,668.668948
0.656180149,683,17.4324409,665.567559,665.567559
0.657629408,688,25.5166148,662.483385,662.483385
0.659078646,753,93.5836764,659.416324,659.416324
0.660527863,686,29.6337275,656.366273,656.366273
0.66197706,734,80.6668688,653.333131,653.333131
0.663426235,711,60.6832006,650.316799,650.316799
0.664875389,711,63.6828226,647.317177,647.317177
0.666324522,672,27.6658334,644.334167,644.334167
0.667773634,741,99.6323314,641.367669,641.367669
0.669222725,665,26.582414,638.417586,638.417586
0.670671794,675,39.5161781,635.483822,635.483822
0.672120842,684,51.4337197,632.56628,632.56628
0.673569869,710,80.3351345,629.664866,629.664866
0.675018874,682,55.2205173,626.779483,626.779483
0.676467858,643,19.0899622,623.910038,623.910038
0.67791682,659,37.943563,621.056437,621.056437
0.679365761,653,34.7814124,618.218588,618.218588
0.68081468,668,52.6036029,615.396397,615.396397
0.682263578,703,90.4102261,612.589774,612.589774
0.683712454,684,74.2013731,609.798627,609.798627
0.685161308,648,40.9771344,607.022866,607.022866
0.686610141,645,40.7375997,604.2624,604.2624
0.688058951,588,-13.5171415,601.517142,601.517142
0.68950774,653,54.2129992,598.787001,598.787001
0.690956507,643,46.92811,596.07189,596.07189
0.692405252,631,37.6282783,593.371722,593.371722
0.693853975,626,35.3135911,590.686409,590.686409
0.695302675,582,-6.01586532,588.015865,588.015865
0.696751354,651,65.6399947,585.360005,585.360005
0.698200011,624,41.2812565,582.718744,582.718744
0.699648645,610,29.9080045,580.091996,580.091996
0.701097257,599,21.5203228,577.479677,577.479677
0.702545847,594,19.1182951,574.881705,574.881705
0.703994415,541,-31.2979959,572.297996,572.297996
0.70544296,576,6.27153235,569.728468,569.728468
0.706891483,562,-5.1730383,567.173038,567.173038
0.708339983,607,42.3683735,564.631627,564.631627
0.709788461,594,31.8958485,562.104152,562.104152
0.711236917,568,8.40946701,559.590533,559.590533
0.712685349,560,2.90930882,557.090691,557.090691
0.714133759,589,34.3954531,554.604547,554.604547
0.715582147,602,49.8679787,552.132021,552.132021
0.717030511,510,-39.6730363,549.673036,549.673036
0.718478853,570,22.7724859,547.227514,547.227514
0.719927172,513,-31.7953775,544.795378,544.795378
0.721375468,579,36.6234501,542.37655,542.37655
0.722823741,518,-21.9709549,539.970955,539.970955
0.724271992,549,11.4214832,537.578517,537.578517
0.725720219,545,9.80083949,535.199161,535.199161
0.727168423,517,-15.8328111,532.832811,532.832811
0.728616604,539,8.52060561,530.479394,530.479394
0.730064762,558,29.8611635,528.138837,528.138837
0.731512897,516,-9.81106412,525.811064,525.811064
0.732961008,532,8.50399565,523.496004,523.496004
0.734409096,494,-27.1935848,521.193585,521.193585
0.735857161,547,28.0962665,518.903733,518.903733
0.737305203,535,18.3736211,516.626379,516.626379
0.738753221,536,21.6385499,514.36145,514.36145
0.740201215,493,-19.1088764,512.108876,512.108876
0.741649186,560,50.1314124,509.868588,509.868588
0.743097134,516,8.35948595,507.640514,507.640514
0.744545058,497,-8.42458649,505.424586,505.424586
0.745992958,518,14.7792639,503.220736,503.220736
0.747440835,507,5.97110565,501.028894,501.028894
0.748888687,471,-27.8489934,498.848993,498.848993
0.750336516,467,-29.6809656,496.680966,496.680966
0.751784321,521,26.4752561,494.524744,494.524744
0.753232103,480,-12.3802616,492.380262,492.380262
0.75467986,496,5.75254775,490.247452,490.247452
0.756127593,481,-7.1262501,488.12625,488.12625
0.757575303,481,-5.01658963,486.01659,486.01659
0.759022988,435,-48.9184058,483.918406,483.918406
0.760470649,502,20.1683661,481.831634,481.831634
0.761918286,461,-18.7562096,479.75621,479.75621
0.763365899,474,-3.69206918,477.692069,477.692069
0.764813487,411,-64.6391491,475.639149,475.639149
0.766261051,451,-22.5973862,473.597386,473.597386
0.767708591,434,-37.5667179,471.566718,471.566718
0.769156107,428,-41.5470818,469.547082,469.547082
0.770603598,478,10.461584,467.538416,467.538416
0.772051064,480,14.4593411,465.540659,465.540659
0.773498506,448,-15.5537495,463.553749,463.553749
0.774945924,436,-25.5776267,461.577627,461.577627
0.776393316,455,-4.61223039,459.61223,459.61223
0.777840684,418,-39.6575003,457.6575,457.6575
0.779288028,436,-19.7133768,455.713377,455.713377
0.780735347,420,-33.7798006,453.779801,453.779801
0.78218264,413,-38.8567127,451.856713,451.856713
0.783629909,423,-26.9440545,449.944054,449.944054
0.785077153,415,-33.0417677,448.041768,448.041768
0.786524373,453,6.85020564,446.149794,446.149794
0.787971567,426,-18.268077,444.268077,444.268077
0.789418736,419,-23.3965585,442.396558,442.396558
0.79086588,388,-52.5351818,440.535182,440.535182
0.792312999,416,-22.6838906,438.683891,438.683891
0.793760092,385,-51.8426285,436.842629,436.842629
0.795207161,438,2.98866016,435.01134,435.01134
0.796654204,399,-34.189969,433.189969,433.189969
0.798101222,402,-29.3784609,431.378461,431.378461
0.799548215,413,-16.5767607,429.576761,429.576761
0.800995182,438,10.2151862,427.784814,427.784814
0.802442124,385,-41.0025662,426.002566,426.002566
0.80388904,369,-55.2299638,424.229964,424.229964
0.80533593,370,-52.4669532,422.466953,422.466953
0.806782795,408,-12.7134812,420.713481,420.713481
0.808229635,381,-37.9694948,418.969495,418.969495
0.809676449,393,-24.2349415,417.234942,417.234942
0.811123237,371,-44.5097691,415.509769,415.509769
0.812569999,369,-44.7939254,413.793925,413.793925
0.814016735,375,-37.087359,412.087359,412.087359
0.815463446,395,-15.3900184,410.390018,410.390018
0.816910131,369,-39.7018527,408.701853,408.701853
0.818356789,376,-31.022811,407.022811,407.022811
0.819803422,412,6.64715709,405.352843,405.352843
0.821250029,384,-19.6918983,403.691898,403.691898
0.822696609,404,1.96007259,402.039927,402.039927
0.824143164,364,-36.3968806,400.396881,400.396881
0.825589692,378,-20.7627086,398.762709,398.762709
0.827036194,373,-24.1373625,397.137362,397.137362
0.82848267,374,-21.5207936,395.520794,395.520794
0.829929119,345,-48.9129535,393.912953,393.912953
0.831375542,392,-0.313794028,392.313794,392.313794
0.832821939,388,-2.72326747,390.723267,390.723267
0.834268309,400,10.8586738,389.141326,389.141326
0.835714652,375,-12.567923,387.567923,387.567923
0.83716097,324,-62.0030109,386.003011,386.003011
0.83860726,370,-14.4465431,384.446543,384.446543
0.840053524,394,11.1015268,382.898473,382.898473
0.841499761,351,-30.3587551,381.358755,381.358755
0.842945971,374,-5.82734279,379.827343,379.827343
0.844392155,386,7.69580932,378.304191,378.304191
0.845838312,353,-23.7892534,376.789253,376.789253
0.847284442,370,-5.28248584,375.282486,375.282486
0.848730545,351,-22.7838432,373.783843,373.783843
0.850176621,384,11.7067192,372.293281,372.293281
0.85162267,341,-29.8107544,370.810754,370.810754
0.853068692,366,-3.33621996,369.33622,369.33622
0.854514687,382,14.1303664,367.869634,367.869634
0.855960654,347,-19.4109518,366.410952,366.410952
0.857406595,343,-21.9601313,364.960131,364.960131
0.858852508,322,-41.5171289,363.517129,363.517129
0.860298394,323,-39.081902,362.081902,362.081902
0.861744253,359,-1.65440793,360.654408,360.654408
0.863190084,351,-8.23460437,359.234604,359.234604
0.864635888,296,-61.8224493,357.822449,357.822449
0.866081664,326,-30.4179009,356.417901,356.417901
0.867527413,317,-38.0209175,355.020918,355.020918
