'y-axis saved as y
'x,PKT-3-104-1_2MnO2_Y2O3_FlowO2_650_72.raw,Diff,Bkg,Ycalc
14.9863173,355,-62.207689,408.274447,417.207689
15.0067526,353,-61.6207569,404.977236,414.620757
15.0271879,356,-56.1528415,401.709633,412.152841
15.0476232,331,-78.8196267,398.47147,409.819627
15.0680586,355,-52.6405136,395.26258,407.640514
15.0884939,344,-61.6397291,392.082794,405.639729
15.1089292,325,-78.8478444,388.931946,403.847844
15.1293645,355,-47.3038891,385.80987,402.303889
15.1497998,313,-88.058345,382.716399,401.058345
15.1702352,348,-52.1774704,379.651366,400.17747
15.1906705,341,-58.7496838,376.614606,399.749684
15.2111058,344,-55.8952188,373.605954,399.895219
15.2315411,312,-88.7811189,370.625243,400.781119
15.2519764,344,-58.6451563,367.67231,402.645156
15.2724117,360,-45.8348082,364.74699,405.834808
15.2928471,353,-57.8710421,361.849117,410.871042
15.3132824,388,-30.5500717,358.978529,418.550072
15.3337177,376,-54.0967326,356.135062,430.096733
15.354153,390,-57.3787547,353.318552,447.378755
15.3745883,433,-40.1760334,350.528837,473.176033
15.3950236,493,-18.4337802,347.765754,511.43378
15.415459,526,-41.1823812,345.02914,567.182381
15.4358943,569,-76.1094467,342.318834,645.109447
15.4563296,676,-68.6587406,339.634674,744.658741
15.4767649,790,-60.7083226,336.976499,850.708323
15.4972002,826,-102.537507,334.344147,928.537507
15.5176355,848,-93.6286006,331.73746,941.628601
15.5380709,783,-101.978167,329.156276,884.978167
15.5585062,709,-79.2886895,326.600435,788.288689
15.5789415,672,-15.4056872,324.069779,687.405687
15.5993768,562,-44.4302362,321.564148,606.430236
15.6198121,587,36.1779591,319.083384,550.822041
15.6402474,600,86.6707062,316.627328,513.329294
15.6606828,539,54.2203099,314.195823,484.77969
15.6811181,529,69.6456797,311.788712,459.35432
15.7015534,436,0.971281323,309.405836,435.028719
15.7219887,379,-33.0972044,307.04704,412.097204
15.742424,350,-41.5395136,304.712167,391.539514
15.7628593,316,-57.9956876,302.401062,373.995688
15.7832947,292,-67.4792704,300.113568,359.47927
15.80373,307,-40.5938606,297.849532,347.593861
15.8241653,343,5.1673169,295.608798,337.832683
15.8446006,288,-41.723954,293.391213,329.723954
15.8650359,299,-23.8896222,291.196621,322.889622
15.8854712,299,-18.0482954,289.024871,317.048295
15.9059066,273,-38.9983017,286.87581,311.998302
15.9263419,245,-62.5994971,284.749283,307.599497
15.9467772,273,-30.7583101,282.645141,303.75831
15.9672125,278,-22.4154262,280.563231,300.415426
15.9876478,268,-29.5333459,278.503402,297.533346
16.0080831,300,4.92024771,276.465502,295.079752
16.0285185,264,-29.0014329,274.449383,293.001433
16.0489538,286,-5.18293517,272.454894,291.182935
16.0693891,308,18.5906822,270.481886,289.409318
16.0898244,286,-1.40455119,268.530209,287.404551
16.1102597,302,17.0528187,266.599716,284.947181
16.130695,280,-1.97028764,264.690257,281.970288
16.1511304,275,-3.59610998,262.801687,278.59611
16.1715657,278,2.94464037,260.933857,275.05536
16.192001,258,-13.5727359,259.086621,271.572736
16.2124363,258,-10.2926779,257.259832,268.292678
16.2328716,257,-8.26699455,255.453346,265.266995
16.2533069,241,-21.4856715,253.667017,262.485672
16.2737423,265,5.08638666,251.900699,259.913613
16.2941776,243,-14.5130504,250.154249,257.51305
16.3146129,237,-18.2522257,248.427523,255.252226
16.3350482,255,1.89301726,246.720378,253.106983
16.3554835,227,-24.0598744,245.03267,251.059874
16.3759188,222,-27.0988346,243.364258,249.098835
16.3963542,243,-4.21610008,241.714999,247.2161
16.4167895,232,-13.4075461,240.084752,245.407546
16.4372248,243,-0.672471742,238.473376,243.672472
16.4576601,219,-23.0138926,236.880731,242.013893
16.4780954,240,-0.439521873,235.306677,240.439522
16.4985307,227,-11.9638935,233.751074,238.963893
16.5189661,217,-20.6126618,232.213783,237.612662
16.5394014,252,15.5687672,230.694666,236.431233
16.5598367,235,-0.501285321,229.193585,235.501285
16.580272,214,-20.9697186,227.710403,234.969719
16.6007073,246,10.9036257,226.244982,235.096374
16.6211426,226,-10.3322889,224.797187,236.332289
16.641578,229,-10.4396366,223.366881,239.439637
16.6620133,234,-11.5911707,221.953928,245.591171
16.6824486,235,-20.9732435,220.558194,255.973243
16.7028839,266,-3.6284725,219.179545,269.628473
16.7233192,234,-46.2485601,217.817846,280.24856
16.7437545,231,-48.5661068,216.472965,279.566107
16.7641899,232,-36.0035719,215.144768,268.003572
16.7846252,235,-17.6357426,213.833122,252.635743
16.8050605,235,-2.76991092,212.537897,237.769911
16.8254958,220,-6.89575666,211.25896,226.895757
16.8459311,227,6.75798998,209.996182,220.24201
16.8663664,218,1.92514987,208.749431,216.07485
16.8868018,228,14.863308,207.518578,213.136692
16.9072371,206,-4.83388794,206.303494,210.833888
16.9276724,231,22.1073801,205.104049,208.89262
16.9481077,214,6.8243097,203.920117,207.17569
16.968543,213,7.39176659,202.751568,205.608233
16.9889783,212,7.85361505,201.598277,204.146385
