'y-axis saved as y
'x,PKT-3-101-2_2MnO2_Y2O3_6NaCl_FlowO2_650_24.raw,Diff,Ycalc,Bkg
14.6389169,565,-64.5494913,629.549491,623.088363
14.6593522,560,-65.7841871,625.784187,619.028983
14.6797875,600,-22.0703764,622.070376,615.000632
14.7002229,582,-36.409908,618.409908,611.003161
14.7206582,551,-63.8049499,614.80495,607.036419
14.7410935,540,-71.2581334,611.258133,603.100256
14.7615288,547,-60.7729158,607.772916,599.194523
14.7819641,525,-79.3546306,604.354631,595.319069
14.8023994,504,-97.0106611,601.010661,591.473745
14.8228348,509,-88.741768,597.741768,587.6584
14.8432701,498,-96.5382464,594.538246,583.872884
14.8637054,538,-53.4079166,591.407917,580.117048
14.8841407,478,-110.361691,588.361691,576.390742
14.904576,491,-94.4073814,585.407381,572.693815
14.9250113,494,-88.5527555,582.552755,569.026119
14.9454467,518,-61.8067987,579.806799,565.387503
14.965882,500,-77.1800646,577.180065,561.777819
14.9863173,524,-50.68508,574.68508,558.196915
15.0067526,496,-76.3370297,572.33703,554.644644
15.0271879,518,-52.1552049,570.155205,551.120854
15.0476232,496,-72.163712,568.163712,547.625398
15.0680586,485,-81.3836102,566.38361,544.158126
15.0884939,501,-63.8298038,564.829804,540.718889
15.1089292,483,-80.5393976,563.539398,537.307537
15.1293645,484,-78.5590999,562.5591,533.923923
15.1497998,500,-61.9408069,561.940807,530.567896
15.1702351,508,-53.7466541,561.746654,527.23931
15.1906705,444,-118.052907,562.052907,523.938014
15.2111058,458,-104.953655,562.953655,520.66386
15.2315411,479,-85.5653132,564.565313,517.416701
15.2519764,469,-98.0320457,567.032046,514.196389
15.2724117,477,-93.5319569,570.531957,511.002774
15.2928471,475,-100.283455,575.283455,507.835711
15.3132824,495,-86.5501852,581.550185,504.69505
15.3337177,466,-123.64078,589.64078,501.580644
15.354153,480,-119.897099,599.897099,498.492347
15.3745883,504,-108.663117,612.663117,495.430011
15.3950236,485,-143.218775,628.218775,492.39349
15.415459,501,-145.656171,646.656171,489.382635
15.4358943,565,-102.694244,667.694244,486.397302
15.4563296,532,-158.448951,690.448951,483.437343
15.4767649,612,-101.246129,713.246129,480.502612
15.4972002,666,-67.6612465,733.661246,477.592965
15.5176355,711,-38.0057986,749.005799,474.708253
15.5380709,688,-69.309756,757.309756,471.848334
15.5585062,674,-84.4025517,758.402552,469.01306
15.5789415,674,-79.8982152,753.898215,466.202287
15.5993768,663,-81.137736,744.137736,463.41587
15.6198121,632,-92.4622051,724.462205,460.653665
15.6402474,579,-113.051817,692.051817,457.915527
15.6606828,576,-78.7057721,654.705772,455.201313
15.6811181,561,-57.2009915,618.200991,452.510877
15.7015534,547,-40.2672405,587.267241,449.844077
15.7219887,554,-9.04292395,563.042924,447.20077
15.742424,519,-24.8318366,543.831837,444.580812
15.7628593,460,-67.9866968,527.986697,441.98406
15.7832947,432,-82.5549792,514.554979,439.410372
15.80373,438,-64.9750236,502.975024,436.859606
15.8241653,438,-54.8668282,492.866828,434.331619
15.8446006,428,-55.950034,483.950034,431.826271
15.8650359,410,-66.0090802,476.00908,429.343418
15.8854712,417,-51.8748984,468.874898,426.882922
15.9059066,412,-50.4136239,462.413624,424.444639
15.9263419,391,-65.5192697,456.51927,422.028431
15.9467772,448,-3.10895064,451.108951,419.634156
15.9672125,408,-38.1162881,446.116288,417.261676
15.9876478,418,-23.4814846,441.481485,414.910849
16.0080831,390,-47.1587578,437.158758,412.581537
16.0285185,406,-27.1334897,433.13349,410.273602
16.0489538,436,6.59196383,429.408036,407.986903
16.0693891,439,12.9873547,426.012645,405.721303
16.0898244,414,-9.02080721,423.020807,403.476664
16.1102597,425,4.46267293,420.537327,401.252848
16.130695,400,-18.5443568,418.544357,399.049718
16.1511304,406,-10.5544043,416.554404,396.867136
16.1715657,403,-10.71644,413.71644,394.704967
16.192001,404,-5.92708484,409.927085,392.563073
16.2124363,402,-3.93478998,405.93479,390.441318
16.2328716,356,-46.0598111,402.059811,388.339568
16.2533069,368,-30.6470564,398.647056,386.257686
16.2737423,380,-15.6802289,395.680229,384.195538
16.2941776,402,9.01084884,392.989151,382.152989
16.3146129,357,-33.4603734,390.460373,380.129906
16.3350482,375,-13.0421469,388.042147,378.126153
16.3554835,393,7.28722427,385.712776,376.141597
16.3759188,366,-17.4618586,383.461859,374.176106
