'y-axis saved as y
'x,PKT-3-101-1_2MnO2_Y2O3_FlowO2_650_24.raw,Diff,Ycalc,Bkg
10.7153361,2427,367.432873,2059.56713,2059.56713
10.7357714,2367,316.923328,2050.07667,2050.07667
10.7562067,2419,378.379789,2040.62021,2040.62021
10.776642,2321,289.802339,2031.19766,2031.19766
10.7970774,2288,266.191061,2021.80894,2021.80894
10.8175127,2385,372.546039,2012.45396,2012.45396
10.837948,2274,270.867356,2003.13264,2003.13264
10.8583833,2325,331.155096,1993.8449,1993.8449
10.8788186,2213,228.409341,1984.59066,1984.59066
10.8992539,2367,391.630173,1975.36983,1975.36983
10.9196893,2348,381.817677,1966.18232,1966.18232
10.9401246,2298,340.971935,1957.02807,1957.02807
10.9605599,2262,314.093028,1947.90697,1947.90697
10.9809952,2273,334.18104,1938.81896,1938.81896
11.0014305,2298,368.236053,1929.76395,1929.76395
11.0218658,2239,318.258149,1920.74185,1920.74185
11.0423012,2257,345.247409,1911.75259,1911.75259
11.0627365,2307,404.203917,1902.79608,1902.79608
11.0831718,2376,482.127752,1893.87225,1893.87225
11.1036071,2372,487.018998,1884.981,1884.981
11.1240424,2263,386.877736,1876.12226,1876.12226
11.1444777,2209,341.704046,1867.29595,1867.29595
11.1649131,2228,369.498011,1858.50199,1858.50199
11.1853484,2254,404.259711,1849.74029,1849.74029
11.2057837,2269,427.989228,1841.01077,1841.01077
11.226219,2291,458.686642,1832.31336,1832.31336
11.2466543,2211,387.352033,1823.64797,1823.64797
11.2670896,2139,323.985484,1815.01452,1815.01452
11.287525,2242,435.587073,1806.41293,1806.41293
11.3079603,2156,358.156882,1797.84312,1797.84312
11.3283956,2200,410.694991,1789.30501,1789.30501
11.3488309,2180,399.20148,1780.79852,1780.79852
11.3692662,2111,338.676428,1772.32357,1772.32357
11.3897015,2224,460.119916,1763.88008,1763.88008
11.4101369,2135,379.532024,1755.46798,1755.46798
11.4305722,2196,448.912831,1747.08717,1747.08717
11.4510075,2196,457.262416,1738.73758,1738.73758
11.4714428,2115,384.580859,1730.41914,1730.41914
11.4918781,2208,485.86824,1722.13176,1722.13176
11.5123134,2129,415.124636,1713.87536,1713.87536
11.5327488,2039,333.350129,1705.64987,1705.64987
11.5531841,2080,382.544795,1697.45521,1697.45521
11.5736194,2186,496.708714,1689.29129,1689.29129
11.5940547,2056,374.841965,1681.15803,1681.15803
11.61449,2146,472.944626,1673.05537,1673.05537
11.6349253,2094,429.016776,1664.98322,1664.98322
11.6553607,2098,441.058492,1656.94151,1656.94151
11.675796,2064,415.069853,1648.93015,1648.93015
11.6962313,2053,412.050937,1640.94906,1640.94906
11.7166666,2007,374.001822,1632.99818,1632.99818
11.7371019,2064,438.922585,1625.07741,1625.07741
11.7575372,2048,430.813305,1617.18669,1617.18669
11.7779726,2095,485.674058,1609.32594,1609.32594
