'y-axis saved as y
'x,PKT-3-112-1_NaMn2O4_YOCl_650_24_O2.raw,Diff,Ycalc,Bkg
12.1253729,1873,31.6433251,1841.35667,1839.61086
12.1458083,1828,-0.469297815,1828.4693,1826.6511
12.1662436,1884,68.4262425,1815.57376,1813.66509
12.1866789,1853,50.3219273,1802.67807,1800.65548
12.2071142,1862,72.208464,1789.79154,1787.62488
12.2275495,1888,111.075995,1776.92401,1774.57586
12.2479848,1834,69.9166688,1764.08333,1761.51093
12.2684202,1811,59.7308756,1751.26912,1748.43259
12.2888555,1815,76.5376369,1738.46236,1735.34329
12.3092908,1821,95.3829313,1725.61707,1722.24545
12.3297261,1818,105.328274,1712.67173,1709.14144
12.3501614,1782,82.4079439,1699.59206,1696.0336
12.3705967,1790,103.593528,1686.40647,1682.92423
12.3910321,1789,115.815176,1673.18482,1669.81559
12.4114674,1769,109.005594,1659.99441,1656.70992
12.4319027,1677,30.127473,1646.87253,1643.6094
12.452338,1760,126.171148,1633.82885,1630.51619
12.4727733,1636,15.1388443,1620.86116,1617.4324
12.4932086,1678,70.0328175,1607.96718,1604.36011
12.513644,1742,146.850706,1595.14929,1591.30137
12.5340793,1691,108.584404,1582.4156,1578.25818
12.5545146,1669,99.2194363,1569.78056,1565.23253
12.5749499,1583,25.7335106,1557.26649,1552.22634
12.5953852,1617,72.0934672,1544.90653,1539.24153
12.6158205,1714,181.249329,1532.75067,1526.27995
12.6362559,1624,103.128315,1520.87169,1513.34344
12.6566912,1705,195.645264,1509.35474,1500.43379
12.6771265,1659,160.703557,1498.29644,1487.55278
12.6975618,1672,184.128007,1487.87199,1474.70213
12.7179971,1628,149.678359,1478.32164,1461.88354
12.7384325,1666,196.075479,1469.92452,1449.09866
12.7588678,1616,153.041415,1462.95858,1436.34914
12.7793031,1550,92.443788,1457.55621,1423.63655
12.7997384,1627,173.625395,1453.37461,1410.96248
12.8201737,1686,236.879649,1449.12035,1398.32843
12.840609,1601,158.59821,1442.40179,1385.73593
12.8610444,1557,126.262714,1430.73729,1373.18642
12.8814797,1667,253.524873,1413.47513,1360.68134
12.901915,1610,217.514758,1392.48524,1348.22209
12.9223503,1508,137.342343,1370.65766,1335.81005
12.9427856,1535,184.889157,1350.11084,1323.44655
12.9632209,1501,169.422363,1331.57764,1311.13291
12.9836563,1438,123.128355,1314.87165,1298.87039
13.0040916,1351,51.4695267,1299.53047,1286.66025
13.0245269,1370,84.8559062,1285.14409,1274.5037
13.0449622,1398,126.576935,1271.42307,1262.40193
13.0653975,1366,107.823559,1258.17644,1250.3561
13.0858328,1370,124.720344,1245.27966,1238.36733
13.1062682,1269,36.3493861,1232.65061,1226.43673
13.1267035,1276,55.7657587,1220.23424,1214.56537
13.1471388,1227,19.007135,1207.99286,1202.75428
13.1675741,1253,57.09977,1195.90023,1191.00448
13.1880094,1224,40.06227,1183.93773,1179.31696
13.2084447,1230,57.9080128,1172.09199,1167.69267
13.2288801,1205,44.6467326,1160.35327,1156.13255
13.2493154,1182,33.2855802,1148.71442,1144.63749
13.2697507,1106,-31.1701554,1137.17016,1133.20838
13.290186,1154,28.2834546,1125.71655,1121.84606
13.3106213,1088,-26.3506666,1114.35067,1110.55136
13.3310566,1175,71.9296551,1103.07034,1099.32507
13.351492,1062,-29.8739644,1091.87396,1088.16796
13.3719273,1132,51.239682,1080.76032,1077.08079
13.3923626,1078,8.27152864,1069.72847,1066.06426
13.4127979,1059,0.222413792,1058.77759,1055.11908
13.4332332,1028,-19.9067136,1047.90671,1044.24592
13.4536685,1039,1.88485009,1037.11515,1033.44542
13.4741039,989,-37.4044424,1026.40444,1022.71821
13.4945392,1038,22.2215619,1015.77844,1012.06488
13.5149745,1046,40.7632196,1005.23678,1001.48601
13.5354098,1001,6.22141076,994.778589,990.982154
13.5558451,1011,26.5981858,984.401814,980.553832
13.5762804,943,-31.1047396,974.10474,970.201553
13.5967158,922,-41.8895365,963.889536,959.925801
13.6171511,889,-64.7573924,953.757392,949.727035
13.6375864,929,-14.7090964,943.709096,939.605694
13.6580217,955,21.2540142,933.745986,929.562197
13.678457,956,32.1297836,923.870216,919.596937
13.6988923,898,-16.0819532,914.081953,909.710289
13.7193277,870,-34.376267,904.376267,899.902608
13.739763,866,-28.7518154,894.751815,890.174225
13.7601983,894,8.78769763,885.212302,880.525454
13.7806336,888,12.2406552,875.759345,870.956586
13.8010689,810,-56.39355,866.39355,861.467895
13.8215042,786,-71.1154629,857.115463,852.059633
13.8419396,834,-13.9256277,847.925628,842.732034
13.8623749,816,-22.8246019,838.824602,833.485314
13.8828102,826,-3.81306862,829.813069,824.319667
13.9032455,771,-49.8918833,820.891883,815.235273
13.9236808,753,-59.0617394,812.061739,806.23229
13.9441161,836,32.6767421,803.323258,797.310859
13.9645515,768,-26.6771714,794.677171,788.471105
13.9849868,783,-3.12430558,786.124306,779.713134
14.0054221,750,-27.6655883,777.665588,771.037035
14.0258574,718,-51.3021248,769.302125,762.44288
14.0462927,719,-42.0353357,761.035336,753.930726
14.066728,724,-28.8672319,752.867232,745.50061
14.0871634,741,-3.80106576,744.801066,737.152556
14.1075987,698,-38.8432492,736.843249,728.886573
14.128034,658,-71.0096363,729.009636,720.70265
14.1484693,693,-28.3266836,721.326684,712.600764
14.1689046,695,-18.7750963,713.775096,704.580877
14.1893399,676,-30.2667603,706.26676,696.642935
14.2097753,641,-57.8298752,698.829875,688.786869
14.2302106,677,-14.4981222,691.498122,681.012597
14.2506459,647,-37.2815438,684.281544,673.320021
14.2710812,651,-26.1861697,677.18617,665.709032
14.2915165,641,-29.2174288,670.217429,658.179503
14.3119518,622,-41.3791177,663.379118,650.731298
14.3323872,635,-21.6870078,656.687008,643.364266
14.3528225,641,-9.18692421,650.186924,636.078243
14.3732578,614,-29.9506,643.9506,628.873052
14.3936931,609,-28.9276419,637.927642,621.748503
14.4141284,607,-24.8886195,631.888619,614.704397
14.4345637,612,-13.9160172,625.916017,607.740519
14.4549991,557,-63.0981439,620.098144,600.856645
14.4754344,625,10.5400004,614.46,594.052537
14.4958697,579,-30.0149034,609.014903,587.327949
14.516305,598,-5.77756552,603.777566,580.682621
14.5367403,554,-44.7651233,598.765123,574.116284
14.5571756,594,0.00240815129,593.997592,567.628657
14.577611,563,-26.4984085,589.498408,561.21945
14.5980463,550,-35.2950973,585.295097,554.888361
14.6184816,577,-4.42007545,581.420075,548.63508
14.6389169,544,-33.9116234,577.911623,542.459285
14.6593522,555,-19.8150853,574.815085,536.360648
14.6797875,576,3.8155077,572.184492,530.338829
14.7002229,559,-11.0854025,570.085403,524.393478
14.7206582,545,-23.6018502,568.60185,518.52424
14.7410935,546,-21.8377584,567.837758,512.730746
14.7615288,534,-33.8605221,567.860522,507.012624
14.7819641,559,-9.67517502,568.675175,501.369489
14.8023994,540,-30.4008934,570.400893,495.800952
14.8228348,512,-61.151789,573.151789,490.306613
14.8432701,522,-54.9905335,576.990533,484.886066
14.8637054,455,-126.92134,581.92134,479.538897
14.8841407,493,-94.8605496,587.86055,474.264686
14.904576,524,-70.5980198,594.59802,469.063003
14.9250113,517,-84.7674586,601.767459,463.933413
14.9454467,490,-118.836164,608.836164,458.875476
14.965882,483,-132.102931,615.102931,453.888742
14.9863173,493,-126.644115,619.644115,448.972757
15.0067526,487,-134.388212,621.388212,444.12706
15.0271879,474,-145.769428,619.769428,439.351185
15.0476232,462,-152.621189,614.621189,434.644659
15.0680586,517,-89.1587355,606.158735,430.007005
15.0884939,471,-123.984209,594.984209,425.437738
15.1089292,492,-89.9579545,581.957954,420.936371
15.1293645,445,-123.015133,568.015133,416.502409
15.1497998,516,-38.0071746,554.007175,412.135355
15.1702351,501,-39.6079912,540.607991,407.834705
15.1906705,504,-24.2886114,528.288611,403.599951
15.2111058,473,-44.340359,517.340359,399.430581
15.2315411,485,-22.920986,507.920986,395.32608
15.2519764,483,-17.1044495,500.10445,391.285926
15.2724117,484,-9.92457669,493.924577,387.309596
15.2928471,442,-47.4100521,489.410052,383.396561
15.3132824,490,3.38882969,486.61117,379.546291
15.3337177,494,8.38196299,485.618037,375.75825
15.354153,449,-37.5666679,486.566668,372.0319
15.3745883,505,15.3747567,489.625243,368.366701
15.3950236,456,-38.949113,494.949113,364.762109
15.415459,447,-55.5916932,502.591693,361.217576
15.4358943,515,2.63694551,512.363054,357.732553
15.4563296,472,-51.6476767,523.647677,354.306489
15.4767649,518,-17.2387721,535.238772,350.938828
15.4972002,554,8.68749547,545.312505,347.629015
15.5176355,524,-27.6934608,551.693461,344.376491
