'y-axis saved as y
'x,PKT-3-105-2_Y2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
10.9196893,2203,97.3042331,2105.69577,2105.69577
10.9401246,2086,-9.47392662,2095.47393,2095.47393
10.9605599,2157,71.7234533,2085.27655,2085.27655
10.9809952,2173,97.8961274,2075.10387,2075.10387
11.0014305,2214,149.043855,2064.95615,2064.95615
11.0218658,2118,63.1663974,2054.8336,2054.8336
11.0423012,2079,34.2635222,2044.73648,2044.73648
11.0627365,2048,13.3349993,2034.665,2034.665
11.0831718,2077,52.3806029,2024.6194,2024.6194
11.1036071,2052,37.4001109,2014.59989,2014.59989
11.1240424,2125,120.393305,2004.6067,2004.6067
11.1444777,2102,107.35997,1994.64003,1994.64003
11.1649131,2016,31.2998959,1984.7001,1984.7001
11.1853484,2101,126.212875,1974.78713,1974.78713
11.2057837,2001,36.0987034,1964.9013,1964.9013
11.226219,2078,122.957181,1955.04282,1955.04282
11.2466543,2008,62.7881124,1945.21189,1945.21189
11.2670896,2049,113.591303,1935.4087,1935.4087
11.287525,2043,117.366565,1925.63343,1925.63343
11.3079603,2122,206.113712,1915.88629,1915.88629
11.3283956,2109,202.832561,1906.16744,1906.16744
11.3488309,1980,83.5229331,1896.47707,1896.47707
11.3692662,1948,61.1846531,1886.81535,1886.81535
11.3897015,2013,135.817548,1877.18245,1877.18245
11.4101369,2020,152.42145,1867.57855,1867.57855
11.4305722,2042,183.996193,1858.00381,1858.00381
11.4510075,1995,146.541615,1848.45839,1848.45839
11.4714428,1927,88.0575561,1838.94244,1838.94244
11.4918781,1973,143.543861,1829.45614,1829.45614
11.5123134,1955,135.000377,1819.99962,1819.99962
11.5327488,2068,257.426956,1810.57304,1810.57304
11.5531841,1928,126.823449,1801.17655,1801.17655
11.5736194,1934,142.189716,1791.81028,1791.81028
11.5940547,1875,92.5256143,1782.47439,1782.47439
11.61449,1931,157.831009,1773.16899,1773.16899
11.6349253,1859,95.1057645,1763.89424,1763.89424
11.6553607,1904,149.349751,1754.65025,1754.65025
11.675796,1891,145.562841,1745.43716,1745.43716
11.6962313,1953,216.744908,1736.25509,1736.25509
11.7166666,1869,141.895832,1727.10417,1727.10417
11.7371019,1749,31.0154924,1717.98451,1717.98451
11.7575372,1883,174.103774,1708.89623,1708.89623
11.7779726,1813,113.160563,1699.83944,1699.83944
11.7984079,1902,211.185748,1690.81425,1690.81425
11.8188432,1822,140.179219,1681.82078,1681.82078
11.8392785,1814,141.140857,1672.85912,1672.85914
11.8597138,1833,169.070522,1663.92937,1663.92948
11.8801491,1725,69.9680287,1655.03165,1655.03197
11.9005845,1805,158.833099,1646.16603,1646.1669
11.9210198,1812,174.665241,1637.33263,1637.33476
11.9414551,1740,111.463385,1628.53152,1628.53662
11.9618904,1763,143.22476,1619.7628,1619.77524
11.9823257,1768,156.945055,1611.02655,1611.05494
12.002761,1768,165.629131,1602.32286,1602.37087
12.0231964,1767,173.293267,1593.6518,1593.70673
12.0436317,1738,152.930247,1585.01346,1585.06975
12.064067,1650,73.5351115,1576.40792,1576.46489
12.0845023,1821,253.107129,1567.83523,1567.89287
12.1049376,1710,150.6462,1559.29548,1559.3538
12.1253729,1730,179.152256,1550.78873,1550.84774
12.1458083,1671,128.625231,1542.31506,1542.37477
12.1662436,1642,108.065061,1533.87451,1533.93494
12.1866789,1661,135.471686,1525.46716,1525.52831
12.2071142,1632,114.845045,1517.09306,1517.15496
12.2275495,1667,158.185082,1508.75226,1508.81492
12.2479848,1675,174.491744,1500.44483,1500.50826
12.2684202,1615,122.764977,1492.17082,1492.23502
12.2888555,1589,105.004733,1483.93026,1483.99527
12.3092908,1567,91.2109642,1475.72322,1475.78904
12.3297261,1577,109.383625,1467.54973,1467.61638
12.3501614,1631,171.522672,1459.40984,1459.47733
12.3705967,1594,142.628065,1451.30358,1451.37193
12.3910321,1539,95.6997654,1443.23101,1443.30023
12.4114674,1557,121.737736,1435.19214,1435.26226
12.4319027,1475,47.741943,1427.18702,1427.25806
12.452338,1448,28.7123537,1419.21568,1419.28765
12.4727733,1534,122.648938,1411.27815,1411.35106
12.4932086,1555,151.551667,1403.37445,1403.44833
12.513644,1588,192.420516,1395.50462,1395.57948
12.5340793,1522,134.25546,1387.66867,1387.74454
12.5545146,1480,100.056477,1379.86663,1379.94352
12.5749499,1529,156.823546,1372.09851,1372.17645
12.5953852,1527,162.556649,1364.36434,1364.44335
12.6158206,1434,77.2557712,1356.66413,1356.74423
