'y-axis saved as y
'x,PKT-3-103-3_Y2Mn2O7_FlowO2_650_24.raw,Diff,Bkg,Ycalc
12.1253729,1565,272.191929,1292.80589,1292.80807
12.1458083,1491,207.344506,1283.6533,1283.65549
12.1662436,1445,170.443839,1274.55394,1274.55616
12.1866789,1483,217.490071,1265.50769,1265.50993
12.2071142,1466,209.483348,1256.5144,1256.51665
12.2275495,1467,219.423813,1247.57391,1247.57619
12.2479848,1400,161.311614,1238.68609,1238.68839
12.2684202,1502,272.146897,1229.85078,1229.8531
12.2888555,1379,157.92981,1221.06785,1221.07019
12.3092908,1386,173.660501,1212.33714,1212.3395
12.3297261,1331,127.339122,1203.6585,1203.66088
12.3501614,1352,156.965821,1195.03177,1195.03418
12.3705967,1427,240.540751,1186.45682,1186.45925
12.3910321,1300,122.064063,1177.93349,1177.93594
12.4114674,1267,97.5359114,1169.46162,1169.46409
12.4319027,1418,256.956449,1161.04106,1161.04355
12.452338,1270,117.32583,1152.67165,1152.67417
12.4727733,1312,167.644211,1144.35325,1144.35579
12.4932086,1277,140.911747,1136.08569,1136.08825
12.513644,1315,187.128595,1127.86881,1127.87141
12.5340793,1252,132.294913,1119.70247,1119.70509
12.5545146,1233,121.410859,1111.5865,1111.58914
12.5749499,1268,164.476592,1103.52074,1103.52341
12.5953852,1268,172.492271,1095.50504,1095.50773
12.6158206,1210,122.458058,1087.53922,1087.54194
12.6362559,1170,90.374113,1079.62314,1079.62589
12.6566912,1210,138.240598,1071.75663,1071.7594
12.6771265,1196,132.057674,1063.93952,1063.94233
12.6975618,1162,105.825505,1056.17167,1056.17449
12.7179971,1170,121.544255,1048.45289,1048.45574
12.7384325,1147,106.214088,1040.78303,1040.78591
12.7588678,1207,173.835168,1033.16192,1033.16483
12.7793031,1155,129.40766,1025.58939,1025.59234
12.7997384,1091,72.9317309,1018.06529,1018.06827
12.8201737,1140,129.407547,1010.58945,1010.59245
12.840609,1121,117.835274,1003.16169,1003.16473
12.8610444,1000,4.21508067,995.781851,995.784919
12.8814797,1066,77.5471346,988.449765,988.452865
12.901915,1136,154.831604,981.165262,981.168396
12.9223503,1004,30.0686585,973.928175,973.931341
12.9427856,1050,83.2584669,966.738333,966.741533
12.9632209,991,31.4011994,959.595566,959.598801
12.9836563,997,44.4970263,952.499705,952.502974
