Scan Number,Temperature,Time,P2lpa,P2lpb,P2lpc,P2Na1,P2Na2,P2Mn,P2O,rwp,gof
289,650.3,96,2.884553805,5.355101097,11.29515,0.39381,0,1.1,0.941,8.4486,9.43228
290,649.6,96.33333333,2.884492734,5.354769219,11.29503,0.39182,0,1.08577,0.92457,8.49626,9.53218
291,649.9,96.66666667,2.884903848,5.354945498,11.29497,0.38188,0,1.09398,0.92053,8.47617,9.48807
292,648.7,97,2.884363844,5.355208263,11.29217,0.39557,0,1.09992,0.93697,8.46483,9.48373
293,649.7,97.33333333,2.88453999,5.355191009,11.29217,0.39747,0.00312,1.1,0.94212,8.4621,9.46147
294,648.5,97.66666667,2.884716287,5.355524432,11.29516,0.39751,0,1.0982,0.92716,8.55222,9.57021
295,649.4,98,2.8848573,5.354921361,11.29204,0.39636,0.00611,1.1,0.94471,8.51749,9.49219
296,649.9,98.33333333,2.88520412,5.355516616,11.29507,0.3913,0.00001,1.09998,0.93432,8.54718,9.51092
297,650.2,98.66666667,2.88499155,5.355249943,11.29347,0.39422,0.00723,1.1,0.94139,8.51379,9.51383
298,649.9,99,2.884929647,5.356838183,11.30112,0.38054,0.00001,1.09997,0.92742,8.60576,9.60158
299,649.3,99.33333333,2.884934984,5.355211856,11.29229,0.39751,0.01514,1.1,0.94782,8.52476,9.47492
300,650,99.66666667,2.885107178,5.355518282,11.2943,0.39405,0.00804,1.1,0.93451,8.59462,9.58214
301,650.6,100,2.885159697,5.355531875,11.29323,0.3926,0.00957,1.1,0.93684,8.56966,9.54058
302,650.3,100.3333333,2.885340624,5.35585338,11.29464,0.38328,0.00456,1.1,0.92737,8.6063,9.57668
303,650.9,100.6666667,2.885404924,5.355454004,11.29193,0.39235,0.01199,1.1,0.9299,8.65898,9.65709
304,650.6,101,2.885611069,5.355367481,11.29221,0.39601,0.02519,1.1,0.93453,8.63908,9.62042
305,650.4,101.3333333,2.885673363,5.354830893,11.29375,0.39887,0.02998,1.1,0.93627,8.68451,9.68041
306,649.6,101.6666667,2.885520211,5.355765846,11.29312,0.39524,0.01623,1.1,0.92969,8.68586,9.69216
307,650.1,102,2.885377689,5.355582289,11.29188,0.39893,0.03191,1.1,0.93705,8.71887,9.77102
308,649.8,102.3333333,2.885225293,5.355817173,11.29183,0.40223,0.0267,1.1,0.93683,8.74064,9.78353
309,650.5,102.6666667,2.885534535,5.356307924,11.29574,0.39738,0.01823,1.1,0.91781,8.78956,9.726
310,649.6,103,2.885544559,5.355756375,11.29094,0.40426,0.03228,1.1,0.93709,8.76343,9.7343
311,650.7,103.3333333,2.885875345,5.355647557,11.29205,0.40403,0.03652,1.1,0.93989,8.77791,9.74177
312,649.9,103.6666667,2.886033049,5.35626214,11.29531,0.39276,0.00001,1.09961,0.91489,8.88435,9.97018
313,650,104,2.886744579,5.35511839,11.30199,0.38614,0.01431,1.1,0.90765,8.94008,9.96172
314,650.2,104.3333333,2.886180671,5.356857697,11.29813,0.3938,0.01001,1.1,0.90799,8.87904,9.90773
315,649.8,104.6666667,2.885904608,5.356108324,11.2927,0.40154,0.02692,1.1,0.93312,8.82693,9.88493
316,650.3,105,2.886050976,5.355988158,11.29342,0.40748,0.03979,1.1,0.93418,8.83875,9.85513
317,650,105.3333333,2.886023981,5.35576498,11.29278,0.40559,0.04607,1.1,0.93559,8.83449,9.84696
318,650.2,105.6666667,2.885981969,5.355705896,11.29222,0.40801,0.05203,1.09428,0.9324,8.86637,9.9241
319,648.8,106,2.886015792,5.355819484,11.29242,0.40449,0.04402,1.1,0.93186,8.83746,9.85086
320,650.3,106.3333333,2.886435611,5.354935454,11.2922,0.41727,0.05988,1.1,0.94507,8.88996,9.93748
321,649.8,106.6666667,2.885932524,5.355223424,11.29082,0.41721,0.04977,1.1,0.94413,8.8719,9.97072
322,649.8,107,2.886949588,5.355219303,11.29494,0.40536,0.03689,1.1,0.92724,8.96762,10.01878
323,650.4,107.3333333,2.886303097,5.354938456,11.2903,0.41974,0.06542,1.1,0.95214,8.8473,9.93332
324,650.4,107.6666667,2.886509421,5.355200827,11.29226,0.41127,0.05682,1.1,0.94314,8.86536,9.8279
325,650.2,108,2.88657827,5.355893402,11.29361,0.40006,0.04491,1.09961,0.92554,8.92928,10.01243
326,650,108.3333333,2.886475644,5.355042836,11.2917,0.41928,0.06858,1.1,0.95036,8.88371,9.91278
327,649.3,108.6666667,2.886678862,5.356206215,11.29427,0.39811,0.04117,1.1,0.91409,8.93964,9.96748
328,649.9,109,2.887563052,5.357403951,11.30251,0.37193,0.00004,1.1,0.87351,9.04631,10.09098
329,649.2,109.3333333,2.886441603,5.355609742,11.29149,0.42187,0.06365,1.1,0.93997,8.93509,9.99578
330,649.1,109.6666667,2.886577889,5.355583038,11.2921,0.42369,0.05973,1.1,0.93056,8.97114,10.03556
331,650,110,2.886706523,5.355839622,11.29222,0.40911,0.06735,1.1,0.93476,8.98019,10.06905
332,649.8,110.3333333,2.886858002,5.355776052,11.29441,0.41012,0.07111,1.1,0.92585,9.04063,10.11165
333,649.6,110.6666667,2.886867431,5.35613361,11.29402,0.40541,0.06202,1.1,0.92177,9.03906,10.09089
334,649.4,111,2.886774733,5.356068072,11.29352,0.40902,0.06392,1.1,0.92883,9.01988,10.05688
335,650,111.3333333,2.886695534,5.355858568,11.29194,0.41636,0.07183,1.1,0.93575,9.01409,10.03694
336,650.4,111.6666667,2.886744958,5.35622632,11.2938,0.41319,0.07081,1.1,0.92189,9.07963,10.17575
337,650.1,112,2.886825141,5.356261689,11.29471,0.41096,0.06973,1.1,0.92762,9.03754,10.08321
338,649.1,112.3333333,2.887260194,5.356913949,11.30143,0.38304,0.03509,1.1,0.87737,9.14365,10.20423
339,650,112.6666667,2.886927059,5.355890978,11.29308,0.41847,0.08244,1.1,0.93961,9.02403,10.06199
340,650.1,113,2.886945444,5.356111725,11.2938,0.41489,0.07567,1.09999,0.92534,9.08881,10.16442
341,651.2,113.3333333,2.888124922,5.358589045,11.3087,0.35129,0.00006,1.09999,0.82004,9.4342,10.58913
342,649.7,113.6666667,2.887025848,5.35649079,11.29523,0.40764,0.07192,1.1,0.90312,9.1315,10.24209
343,650.8,114,2.887043539,5.356486246,11.29508,0.39567,0.05283,1.1,0.8925,9.11511,10.18114
344,649.6,114.3333333,2.886963013,5.356105677,11.29391,0.40724,0.07395,1.1,0.92369,9.14693,10.2064
345,650.9,114.6666667,2.887105008,5.356244051,11.29397,0.41068,0.0779,1.1,0.90863,9.17176,10.26294
346,649.6,115,2.8870361,5.356526277,11.2946,0.39162,0.04202,1.1,0.88924,9.1991,10.33601
347,650.2,115.3333333,2.887154565,5.356257139,11.29428,0.41166,0.08058,1.1,0.91681,9.1803,10.30462
348,649.7,115.6666667,2.887122627,5.356267637,11.29424,0.41916,0.08974,1.1,0.91952,9.21444,10.33073
349,650.4,116,2.886968325,5.356735605,11.29538,0.40449,0.07039,1.1,0.89694,9.21167,10.32889
350,650.3,116.3333333,2.887138063,5.356065485,11.29311,0.42055,0.09485,1.1,0.92946,9.18902,10.2903
351,649.6,116.6666667,2.88696076,5.356044977,11.29247,0.41769,0.09418,1.1,0.92169,9.20792,10.31186
352,649.6,117,2.887140502,5.356382583,11.29475,0.41146,0.08543,1.1,0.92008,9.17086,10.26193
353,649.7,117.3333333,2.88664229,5.362223494,11.30253,0.33257,0.00002,1.1,0.81395,9.34724,10.47175
354,648.4,117.6666667,2.889657389,5.359748032,11.31637,0.35303,0.00012,1.09999,0.68658,9.76039,10.93521
355,649.6,118,2.887365603,5.355828462,11.29256,0.4149,0.10101,1.1,0.92597,9.18449,10.29423
356,649.7,118.3333333,2.887312614,5.355548295,11.29111,0.4226,0.11329,1.1,0.93954,9.17788,10.28307
357,650,118.6666667,2.887466646,5.356469384,11.29483,0.39808,0.07472,1.1,0.88547,9.23261,10.34473
358,652.8,119,2.887300489,5.358923682,11.29431,0.37667,0.05784,1.1,0.84923,9.2459,10.34387
359,652,119.3333333,2.887839282,5.358177071,11.29462,0.38128,0.06916,1.1,0.85628,9.22015,10.25654
360,650.2,119.6666667,2.886876953,5.359763245,11.29661,0.36761,0.05801,1.1,0.84271,9.27121,10.32795
361,649.7,120,2.887557022,5.355661859,11.29222,0.42269,0.10777,1.1,0.93126,9.20816,10.25132
362,650,120.3333333,2.88744415,5.356042482,11.29364,0.4245,0.10793,1.1,0.91775,9.24685,10.29157
363,650.2,120.6666667,2.887306881,5.355873228,11.29202,0.42124,0.10806,1.1,0.91746,9.22121,10.21602
364,650.2,121,2.887434245,5.356319511,11.29438,0.411,0.09546,1.1,0.89026,9.26997,10.31093
365,648.6,121.3333333,2.887396377,5.35710891,11.29607,0.39736,0.07222,1.1,0.8592,9.30228,10.3655
366,650.5,121.6666667,2.887330442,5.35720974,11.28912,0.41291,0.09481,1.1,0.90176,9.19783,10.20178
367,650,122,2.887300123,5.35955416,11.29317,0.36678,0.04657,1.1,0.82503,9.21404,10.18754
368,650.2,122.3333333,2.886459612,5.360521662,11.29414,0.37484,0.05668,1.1,0.83369,9.25085,10.21349
369,650.1,122.6666667,2.887239584,5.358099707,11.29044,0.38051,0.07274,1.09528,0.85251,9.21213,10.27949
370,649.9,123,2.88728972,5.357762507,11.291,0.39237,0.08079,1.1,0.85482,9.24738,10.3385
371,649.8,123.3333333,2.887603327,5.357950233,11.29049,0.38802,0.06237,1.1,0.8488,9.22603,10.31179
372,650.6,123.6666667,2.887010726,5.359471394,11.29237,0.37493,0.0519,1.1,0.81091,9.27058,10.32124
373,650.5,124,2.886767805,5.360737711,11.29242,0.34012,0.05403,1.1,0.85303,9.26266,10.34826
374,650.1,124.3333333,2.887081972,5.359272529,11.29245,0.3843,0.07725,1.08495,0.83271,9.28319,10.3925
375,649.4,124.6666667,2.887170474,5.359299683,11.29343,0.38619,0.06829,1.09441,0.82716,9.31531,10.41236
376,649.8,125,2.887192054,5.358896045,11.29258,0.38994,0.07207,1.1,0.83452,9.3068,10.37551
377,649,125.3333333,2.887387232,5.358663104,11.29157,0.39367,0.08263,1.1,0.84066,9.27145,10.34009
378,650.3,125.6666667,2.887419484,5.3585878,11.29146,0.39793,0.08866,1.1,0.84538,9.28951,10.36104
379,650,126,2.887468916,5.360861197,11.29587,0.35443,0.03776,1.09999,0.80046,9.32404,10.40149
380,650,126.3333333,2.887086084,5.361639619,11.29766,0.36807,0.05463,1.1,0.80488,9.32457,10.42037
381,650,126.6666667,2.887400787,5.359700223,11.29287,0.38255,0.07978,1.09525,0.8203,9.28682,10.37693
382,649.6,127,2.886772319,5.361045746,11.29341,0.35952,0.05512,1.0957,0.79845,9.28536,10.37145
383,650.6,127.3333333,2.887167213,5.363035577,11.30187,0.34389,0.01326,1.1,0.76658,9.43983,10.56903
384,649.4,127.6666667,2.887651496,5.360328468,11.2967,0.36705,0.05456,1.09598,0.79061,9.32092,10.44958
