Scan No,Y2O3LVol,Y2O3LVolerr,Y2O3LVolf,Y2O3LVolferr,Y2O3e0
205,25.770690000,8.966850000,36.027650000,12.535740000,0.000610000
206,25.587780000,8.923860000,35.771940000,12.475640000,0.000590000
207,25.367690000,8.853050000,35.464260000,12.376640000,0.000560000
208,25.296960000,8.881550000,35.365370000,12.416490000,0.000540000
209,25.242340000,8.934150000,35.289010000,12.490010000,0.000520000
210,25.191240000,8.975180000,35.217570000,12.547380000,0.000500000
211,24.891220000,8.837950000,34.798140000,12.355530000,0.000480000
212,24.760880000,8.835460000,34.615920000,12.352050000,0.000450000
213,24.621830000,8.828220000,34.421540000,12.341930000,0.000430000
214,24.606440000,8.899750000,34.400020000,12.441930000,0.000420000
215,24.541470000,8.939810000,34.309190000,12.497940000,0.000400000
216,24.410130000,8.936840000,34.125580000,12.493780000,0.000380000
217,24.027940000,8.751530000,33.591260000,12.234710000,0.000340000
218,23.989480000,8.803590000,33.537500000,12.307490000,0.000330000
219,23.935860000,8.851860000,33.462550000,12.374970000,0.000310000
220,24.224580000,9.175350000,33.866180000,12.827220000,0.000310000
221,23.801560000,8.948460000,33.274790000,12.510030000,0.000280000
222,23.730900000,8.977150000,33.176010000,12.550130000,0.000260000
223,23.656340000,9.020370000,33.071770000,12.610550000,0.000240000
224,23.639480000,9.125110000,33.048210000,12.756990000,0.000230000
225,23.749270000,9.278580000,33.201690000,12.971540000,0.000220000
226,23.754260000,9.402780000,33.208660000,13.145170000,0.000210000
227,23.704730000,9.439570000,33.139410000,13.196600000,0.000200000
228,23.533400000,9.421720000,32.899900000,13.171650000,0.000180000
229,23.578360000,9.544420000,32.962760000,13.343190000,0.000170000
230,24.479810000,10.360910000,34.222980000,14.484640000,0.000220000
231,23.772090000,9.914860000,33.233590000,13.861070000,0.000160000
232,23.214190000,9.538950000,32.453640000,13.335540000,0.000110000
233,23.568800000,9.941960000,32.949390000,13.898940000,0.000130000
234,23.549200000,10.043300000,32.921980000,14.040620000,0.000120000
235,23.397500000,10.011020000,32.709910000,13.995500000,0.000110000
236,23.316220000,10.034210000,32.596280000,14.027910000,0.000090000
237,23.369940000,10.185780000,32.671380000,14.239810000,0.000080000
238,24.528600000,11.310470000,34.291190000,15.812140000,0.000140000
239,23.516580000,10.532040000,32.876380000,14.723880000,0.000070000
240,23.603510000,10.751690000,32.997910000,15.030960000,0.000070000
241,23.474690000,10.763810000,32.817820000,15.047900000,0.000050000
242,23.568410000,10.962450000,32.948850000,15.325600000,0.000040000
243,24.299000000,11.764660000,33.970210000,16.447090000,0.000090000
244,24.415000000,12.007650000,34.132380000,16.786790000,0.000090000
245,23.979330000,11.739060000,33.523310000,16.411300000,0.000040000
246,24.380110000,12.275610000,34.083600000,17.161400000,0.000060000
247,24.445560000,12.516220000,34.175110000,17.497780000,0.000060000
248,24.329280000,12.549430000,34.012550000,17.544220000,0.000040000
249,24.495680000,12.868430000,34.245180000,17.990180000,0.000040000
250,25.269450000,13.830810000,35.326910000,19.335600000,0.000080000
251,24.849790000,13.559270000,34.740220000,18.955980000,0.000040000
252,24.990690000,13.879700000,34.937210000,19.403940000,0.000040000
253,25.094700000,14.217080000,35.082610000,19.875600000,0.000030000
254,25.657730000,15.011650000,35.869730000,20.986410000,0.000060000
255,25.351370000,14.846400000,35.441440000,20.755400000,0.000030000
256,25.380430000,15.064450000,35.482070000,21.060230000,0.000030000
257,25.470980000,15.364700000,35.608660000,21.479980000,0.000020000
258,25.861070000,16.068040000,36.154010000,22.463250000,0.000040000
259,25.931250000,16.386140000,36.252120000,22.907960000,0.000040000
260,26.223970000,16.913500000,36.661340000,23.645220000,0.000040000
261,26.352960000,17.278860000,36.841670000,24.155990000,0.000030000
262,26.243770000,17.383070000,36.689020000,24.301690000,0.000020000
263,26.413240000,17.834610000,36.925940000,24.932940000,0.000020000
