'y-axis saved as y
'x,PKT-3-105-1_BMY2O3_2MnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
13.4332332,1137,-14.6299281,1151.34287,1151.62993
13.4536685,1104,-40.6981419,1144.40097,1144.69814
13.4741039,1158,20.1949805,1137.49189,1137.80502
13.4945392,1133,2.05189671,1130.61566,1130.9481
13.5149745,1055,-69.1171614,1123.7723,1124.11716
13.5354098,1098,-19.3150572,1116.96181,1117.31506
13.5558451,1053,-57.5461636,1110.18423,1110.54616
13.5762804,1116,12.1874073,1103.43955,1103.81259
13.5967158,1093,-4.11772309,1096.7278,1097.11772
13.6171511,1036,-54.4686184,1090.04898,1090.46862
13.6375864,1010,-73.8686186,1083.4031,1083.86862
13.6580217,1023,-54.2985061,1076.79016,1077.29851
13.678457,1024,-46.7372936,1070.21017,1070.73729
13.6988923,1008,-56.201892,1063.66313,1064.20189
13.7193277,961,-96.6993119,1057.14904,1057.69931
13.739763,1045,-6.23004503,1050.66788,1051.23005
13.7601983,996,-48.794106,1044.21967,1044.79411
13.7806336,953,-85.391505,1037.80438,1038.3915
13.8010689,1002,-30.0222509,1031.42201,1032.02225
13.8215042,923,-102.686352,1025.07256,1025.68635
13.8419396,949,-70.3838158,1018.756,1019.38382
13.8623749,910,-103.114649,1012.47233,1013.11465
13.8828102,961,-45.8788578,1006.22152,1006.87886
13.9032455,962,-38.6764493,1000.00355,1000.67645
13.9236808,884,-110.507434,993.818415,994.507434
13.9441161,913,-75.3718334,987.666082,988.371833
13.9645515,962,-20.2696883,981.546529,982.269688
13.9849868,899,-77.2010841,975.459731,976.201084
14.0054221,864,-106.166208,969.405659,970.166208
14.0258574,903,-61.1655269,963.384286,964.165527
14.0462927,867,-91.2002501,957.39558,958.20025
14.066728,846,-106.271939,951.439508,952.271939
14.0871634,856,-90.3779884,945.516037,946.377988
14.1075987,885,-55.5120383,939.625131,940.512038
14.128034,936,1.32221568,933.766752,934.677784
14.1484693,859,-69.8768982,927.940861,928.876898
14.1689046,853,-70.1095083,922.147419,923.109508
14.1893399,810,-107.375633,916.386383,917.375633
14.2097753,845,-66.6752922,910.657709,911.675292
14.2302106,840,-66.0085104,904.961352,906.00851
14.2506459,811,-89.3753146,899.297266,900.375315
14.2710812,814,-80.7757363,893.665403,894.775736
14.2915165,797,-92.2098118,888.065713,889.209812
14.3119518,739,-144.677582,882.498146,883.677582
14.3323872,768,-110.179095,876.962649,878.179095
14.3528225,810,-62.7144051,871.459169,872.714405
14.3732578,797,-70.2835729,865.987649,867.283573
