'y-axis saved as y
'x,PKT-3-104-3_Y2Mn2O7_FlowO2_650_72.raw,Diff,Bkg,Ycalc
11.4101369,1801,200.229849,1600.7669,1600.77015
11.4305722,1723,133.214482,1589.78225,1589.78552
11.4510075,1739,160.145935,1578.85077,1578.85407
11.4714428,1730,162.024229,1567.97245,1567.97577
11.4918781,1749,191.849388,1557.14727,1557.15061
11.5123134,1727,180.621436,1546.37519,1546.37856
11.5327488,1730,194.340401,1535.6562,1535.6596
11.5531841,1658,133.006314,1524.99026,1524.99369
11.5736194,1647,132.619205,1514.37734,1514.3808
11.5940547,1723,219.17911,1503.81741,1503.82089
11.61449,1603,109.686064,1493.31043,1493.31394
11.6349253,1707,224.140108,1482.85636,1482.85989
11.6553607,1735,262.541282,1472.45516,1472.45872
11.675796,1585,122.889628,1462.10678,1462.11037
11.6962313,1640,188.185194,1451.81119,1451.81481
11.7166666,1620,178.428025,1441.56833,1441.57198
11.7371019,1651,219.618171,1431.37815,1431.38183
11.7575372,1701,279.755685,1421.24061,1421.24432
11.7779726,1578,166.840618,1411.15564,1411.15938
11.7984079,1611,209.873016,1401.1232,1401.12698
11.8188432,1585,193.852904,1391.14322,1391.1471
11.8392785,1605,223.78024,1381.21565,1381.21976
11.8597138,1568,196.654798,1371.34043,1371.3452
11.8801491,1508,146.475678,1361.51748,1361.52432
11.9005845,1624,272.24068,1351.74675,1351.75932
11.9210198,1507,164.950058,1342.02817,1342.04994
11.9414551,1464,131.611264,1332.36167,1332.38874
11.9618904,1562,239.224707,1322.74717,1322.77529
11.9823257,1570,256.787075,1313.18461,1313.21292
12.002761,1579,275.297627,1303.6739,1303.70237
12.0231964,1530,235.756395,1294.21498,1294.24361
12.0436317,1492,207.163456,1284.80777,1284.83654
12.064067,1380,104.518891,1275.45218,1275.48111
12.0845023,1481,214.822781,1266.14814,1266.17722
12.1049376,1447,190.07521,1256.89555,1256.92479
12.1253729,1394,146.276263,1247.69434,1247.72374
12.1458083,1395,156.426027,1238.54442,1238.57397
12.1662436,1363,133.52459,1229.44569,1229.47541
12.1866789,1447,226.572042,1220.39808,1220.42796
12.2071142,1406,194.568474,1211.40148,1211.43153
12.2275495,1432,229.513981,1202.45581,1202.48602
12.2479848,1364,170.408655,1193.56097,1193.59134
12.2684202,1362,177.252595,1184.71686,1184.7474
12.2888555,1364,188.045898,1175.92339,1175.9541
12.3092908,1355,187.788662,1167.18045,1167.21134
12.3297261,1233,74.4809894,1158.48795,1158.51901
12.3501614,1284,134.122981,1149.84579,1149.87702
12.3705967,1324,182.714742,1141.25385,1141.28526
12.3910321,1249,116.256377,1132.71204,1132.74362
12.4114674,1276,151.747992,1124.22024,1124.25201
12.4319027,1226,110.189694,1115.77836,1115.81031
12.452338,1256,148.581595,1107.38628,1107.41841
12.4727733,1198,98.923803,1099.04388,1099.0762
12.4932086,1199,108.216431,1090.75107,1090.78357
12.513644,1253,170.459593,1082.50772,1082.54041
12.5340793,1185,110.653402,1074.31372,1074.3466
12.5545146,1225,158.797974,1066.16896,1066.20203
12.5749499,1231,172.893427,1058.07331,1058.10657
12.5953852,1176,125.93988,1050.02667,1050.06012
12.6158206,1160,117.93745,1042.0289,1042.06255
12.6362559,1178,143.88626,1034.07989,1034.11374
12.6566912,1120,93.7864305,1026.17952,1026.21357
12.6771265,1132,113.638085,1018.32766,1018.36191
12.6975618,1071,60.4413489,1010.5242,1010.55865
12.7179971,1072,69.1963461,1002.76899,1002.80365
12.7384325,1088,92.9032037,995.061927,995.096796
12.7588678,1114,126.562049,987.402871,987.437951
12.7793031,1014,34.1730113,979.791696,979.826989
12.7997384,1057,84.7362198,972.228273,972.26378
12.8201737,1061,96.2518056,964.712471,964.748194
12.840609,1095,137.7199,957.244157,957.2801
12.8610444,959,9.14063704,949.823199,949.859363
12.8814797,1058,115.51415,942.449463,942.48585
12.901915,1009,73.8405727,935.122815,935.159427
12.9223503,991,63.1200424,927.843117,927.879958
12.9427856,998,77.3526953,920.610234,920.647305
12.9632209,959,45.5386693,913.424027,913.461331
12.9836563,980,73.678103,906.284359,906.321897
13.0040916,929,29.7711359,899.191088,899.228864
13.0245269,948,55.8179085,892.144076,892.182092
13.0449622,992,106.818562,885.143179,885.181438
13.0653975,883,4.77323913,878.188257,878.226761
13.0858328,928,56.6820824,871.279166,871.317918
13.1062682,872,7.54523587,864.415763,864.454764
13.1267035,884,26.3628443,857.597901,857.637156
13.1471388,853,2.13505311,850.825436,850.864947
13.1675741,851,6.86200868,844.098222,844.137991
13.1880094,831,-6.45614192,837.416111,837.456142
