'y-axis saved as y
'x,PKT-3-103-1_Mn2O3_Y2O3_FlowO2_650_24.raw,Diff,Bkg,Ycalc
11.1036071,1992,97.3219767,1894.52602,1894.67802
11.1240424,2031,148.104346,1882.74226,1882.89565
11.1444777,1967,95.8440696,1871.00113,1871.15593
11.1649131,1899,39.5409482,1859.30283,1859.45905
11.1853484,1947,99.1947865,1847.64754,1847.80521
11.2057837,1955,118.805394,1836.03547,1836.19461
11.226219,2011,186.372585,1824.46679,1824.62741
11.2466543,1987,173.896178,1812.94169,1813.10382
11.2670896,1875,73.3759958,1801.46034,1801.624
11.287525,1911,120.811866,1790.02292,1790.18813
11.3079603,1882,103.203621,1778.62959,1778.79638
11.3283956,1933,165.551096,1767.28052,1767.4489
11.3488309,1881,124.854133,1755.97586,1756.14587
11.3692662,1941,196.112576,1744.71578,1744.88742
11.3897015,1907,173.326274,1733.50042,1733.67373
11.4101369,1898,175.49508,1722.32992,1722.50492
11.4305722,1883,171.618852,1711.20443,1711.38115
11.4510075,1815,114.697452,1700.12409,1700.30255
11.4714428,1914,224.730746,1689.08903,1689.26925
11.4918781,1818,139.718602,1678.09938,1678.2814
11.5123134,1912,244.660894,1667.15527,1667.33911
11.5327488,1824,167.5575,1656.25681,1656.4425
11.5531841,1820,174.408298,1645.40413,1645.5917
11.5736194,1781,146.213168,1634.59734,1634.78683
11.5940547,1803,178.971987,1623.83655,1624.02801
11.61449,1761,147.684616,1613.12187,1613.31538
11.6349253,1754,151.350862,1602.4534,1602.64914
11.6553607,1807,214.970456,1591.83123,1592.02954
11.675796,1785,203.543374,1581.25546,1581.45663
11.6962313,1797,226.070099,1570.72619,1570.9299
11.7166666,1814,253.550566,1560.2435,1560.44943
11.7371019,1728,177.984415,1549.80747,1550.01558
11.7575372,1755,215.37149,1539.41819,1539.62851
11.7779726,1805,275.711708,1529.07572,1529.28829
11.7984079,1804,285.004996,1518.78016,1518.995
11.8188432,1696,187.251282,1508.53155,1508.74872
11.8392785,1660,161.4505,1498.32998,1498.5495
11.8597138,1717,228.602586,1488.1755,1488.39741
11.8801491,1609,130.70748,1478.06817,1478.29252
11.9005845,1675,206.765125,1468.00806,1468.23487
11.9210198,1669,210.775467,1457.9952,1458.22453
11.9414551,1656,207.738456,1448.02966,1448.26154
11.9618904,1742,303.654044,1438.11147,1438.34596
11.9823257,1679,250.522189,1428.24068,1428.47781
12.002761,1604,185.342847,1418.41733,1418.65715
12.0231964,1649,240.115983,1408.64146,1408.88402
12.0436317,1600,200.841562,1398.91311,1399.15844
12.064067,1542,152.519552,1389.23229,1389.48045
12.0845023,1561,181.149923,1379.59904,1379.85008
12.1049376,1635,264.732649,1370.01338,1370.26735
12.1253729,1537,176.267694,1360.47533,1360.73231
12.1458083,1591,239.755006,1350.98492,1351.24499
12.1662436,1510,168.194491,1341.54216,1341.80551
12.1866789,1550,217.585972,1332.14705,1332.41403
12.2071142,1587,263.929079,1322.79962,1323.07092
12.2275495,1560,246.222949,1313.49986,1313.77705
12.2479848,1518,213.465279,1304.24779,1304.53472
12.2684202,1501,205.652009,1295.04339,1295.34799
12.2888555,1450,163.785015,1285.88668,1286.21499
12.3092908,1504,226.878055,1276.77764,1277.12195
12.3297261,1462,193.932631,1267.71627,1268.06737
12.3501614,1453,193.941772,1258.70256,1259.05823
