'y-axis saved as y
'x,PKT-3-101-3_Mn2O3_Y2O3_6NaCl_FlowO2_650_24.raw,Diff,Ycalc,Bkg
12.6975618,1241,94.5670477,1146.43295,1145.65377
12.7179971,1213,74.3378053,1138.66219,1137.87178
12.7384325,1205,74.0666075,1130.93339,1130.13176
12.7588678,1162,38.7532446,1123.24676,1122.43369
12.7793031,1223,107.397738,1115.60226,1114.77752
12.7997384,1201,93.0001254,1107.99987,1107.16319
12.8201737,1196,95.5604467,1100.43955,1099.59068
12.840609,1212,119.078743,1092.92126,1092.05991
12.8610444,1119,33.5550567,1085.44494,1084.57086
12.8814797,1093,14.9894322,1078.01057,1077.12346
12.901915,1170,99.3819147,1070.61809,1069.71765
12.9223503,1104,40.7325513,1063.26745,1062.35339
12.9427856,1087,31.04139,1055.95861,1055.03062
12.9632209,1099,50.3084806,1048.69152,1047.74927
12.9836563,1088,46.5338737,1041.46613,1040.50929
13.0040916,1075,40.7176214,1034.28238,1033.31061
13.0245269,1067,39.859777,1027.14022,1026.15318
13.0449622,1010,-10.0396052,1020.03961,1019.03691
13.0653975,1028,15.0195305,1012.98047,1011.96176
13.0858328,983,-22.9627594,1005.96276,1004.92764
13.1062682,1042,43.0135829,998.986417,997.934489
13.1267035,990,-2.05138419,992.051384,990.982236
13.1471388,1018,32.8423991,985.157601,984.070805
13.1675741,983,4.69499322,978.305007,977.200123
13.1880094,960,-11.4935405,971.49354,970.370113
13.2084447,957,-7.72313979,964.72314,963.580697
13.2288801,982,24.0062582,957.993742,956.831797
13.2493154,918,-33.305283,951.305283,950.123332
13.2697507,990,45.342301,944.657699,943.45522
13.290186,938,-0.0509249083,938.050925,936.827378
13.3106213,913,-18.4848954,931.484895,930.239722
13.3310566,901,-23.9595446,924.959545,923.692166
13.351492,933,14.5251938,918.474806,917.184623
13.3719273,951,38.9693864,912.030614,910.717004
13.3923626,859,-46.6268999,905.6269,904.289219
13.4127979,880,-19.263598,899.263598,897.901179
13.4332332,857,-35.9406407,892.940641,891.552789
13.4536685,846,-40.6579608,886.657961,885.243958
13.4741039,845,-35.415491,880.415491,878.974591
13.4945392,823,-51.2131641,874.213164,872.744591
13.5149745,890,21.9490865,868.050914,866.553862
13.5354098,854,-7.92867252,861.928673,860.402306
13.5558451,823,-32.846375,855.846375,854.289824
13.5762804,766,-83.8039555,849.803956,848.216315
13.5967158,845,1.19865102,843.801349,842.181677
13.6171511,783,-54.8384913,837.838491,836.185809
13.6375864,750,-81.9153193,831.915319,830.228606
13.6580217,790,-36.0317707,826.031771,824.309965
13.678457,742,-78.1877845,820.187784,818.429778
13.6988923,791,-23.383301,814.383301,812.587941
13.7193277,758,-50.6182622,808.618262,806.784344
13.739763,750,-52.8926116,802.892612,801.01888
13.7601983,735,-62.2062946,797.206295,795.291438
13.7806336,761,-30.5592589,791.559259,789.601909
13.8010689,692,-93.9514542,785.951454,783.95018
13.8215042,717,-63.3828329,780.382833,778.336138
13.8419396,705,-69.8533504,774.85335,772.759672
13.8623749,702,-67.362965,769.362965,767.220666
13.8828102,711,-52.9116382,763.911638,761.719005
13.9032455,688,-70.4993355,758.499335,756.254573
13.9236808,685,-68.1260263,753.126026,750.827253
13.9441161,689,-58.7916844,747.791684,745.436928
13.9645515,730,-12.4962884,742.496288,740.083478
13.9849868,652,-85.2398221,737.239822,734.766786
14.0054221,684,-48.0222752,732.022275,729.48673
