'y-axis saved as y
'x,PKT-3-104-2_2MnO2_Y2O3_6NaCl_FlowO2_650_72.raw,Diff,Bkg,Ycalc
12.002761,1604,205.362005,1398.50228,1398.638
12.0231964,1631,242.255894,1388.60603,1388.74411
12.0436317,1637,258.096831,1378.76168,1378.90317
12.064067,1616,246.883487,1368.96918,1369.11651
12.0845023,1502,142.612152,1359.22849,1359.38785
12.1049376,1524,174.277064,1349.53954,1349.72294
12.1253729,1531,190.885612,1339.90229,1340.11439
12.1458083,1501,170.460726,1330.31667,1330.53927
12.1662436,1511,189.991325,1320.78262,1321.00868
12.1866789,1549,237.471067,1311.30007,1311.52893
12.2071142,1517,214.899336,1301.86897,1302.10066
12.2275495,1549,256.276177,1292.48925,1292.72382
12.2479848,1521,237.601657,1283.16083,1283.39834
12.2684202,1503,228.875845,1273.88364,1274.12415
12.2888555,1486,221.098814,1264.65762,1264.90119
12.3092908,1568,312.270635,1255.48269,1255.72937
12.3297261,1466,219.391384,1246.35878,1246.60862
12.3501614,1342,104.461138,1237.28579,1237.53886
12.3705967,1463,234.479975,1228.26366,1228.52003
12.3910321,1450,230.447975,1219.2923,1219.55202
12.4114674,1390,179.365221,1210.37163,1210.63478
12.4319027,1474,272.231796,1201.50156,1201.7682
12.452338,1478,285.047786,1192.68201,1192.95221
12.4727733,1432,247.813277,1183.91288,1184.18672
12.4932086,1287,111.528359,1175.19409,1175.47164
12.513644,1304,137.19312,1166.52555,1166.80688
12.5340793,1279,120.807654,1157.90715,1158.19235
12.5545146,1366,216.372053,1149.33881,1149.62795
12.5749499,1316,174.886412,1140.82043,1141.11359
12.5953852,1369,236.350827,1132.3519,1132.64917
12.6158206,1292,167.765397,1123.93314,1124.2346
12.6362559,1216,100.13022,1115.56403,1115.86978
12.6566912,1275,167.445397,1107.24447,1107.5546
12.6771265,1313,213.71103,1098.97437,1099.28897
12.6975618,1175,83.9272235,1090.75361,1091.07278
12.7179971,1244,161.094081,1082.58208,1082.90592
12.7384325,1200,125.211709,1074.45968,1074.78829
12.7588678,1234,167.280214,1066.38629,1066.71979
12.7793031,1170,111.299707,1058.36181,1058.70029
12.7997384,1137,86.2702957,1050.38612,1050.7297
12.8201737,1083,40.1920918,1042.45911,1042.80791
12.840609,1100,65.0652033,1034.58065,1034.9348
12.8610444,1094,66.8897252,1026.75064,1027.11027
12.8814797,1139,119.66572,1018.96896,1019.33428
12.901915,1179,167.39318,1011.23548,1011.60682
12.9223503,1159,155.071958,1003.55008,1003.92804
12.9427856,1081,84.7015942,995.912641,996.298406
12.9632209,1051,62.2808168,988.323041,988.719183
12.9836563,1078,96.805989,980.781155,981.194011
13.0040916,1035,61.2706176,973.286855,973.729382
13.0245269,1088,121.678201,965.840015,966.321799
