'y-axis saved as y
'x,PKT-3-103-2_mNaMnO2_YOCl_FlowO2_650_24.raw,Diff,Bkg,Ycalc
12.901915,1252,34.6455383,952.093009,1217.35446
12.9223503,1242,38.6781623,944.857178,1203.32184
12.9427856,1202,16.0737743,937.6671,1185.92623
12.9632209,1165,-0.971504916,930.522664,1165.9715
12.9836563,1089,-55.3354548,923.423757,1144.33545
13.0040916,1153,31.1521195,916.370263,1121.84788
13.0245269,1043,-56.2416293,909.362066,1099.24163
13.0449622,1075,-2.08788143,902.399049,1077.08788
13.0653975,1058,2.40743785,895.481093,1055.59256
13.0858328,1008,-27.0870958,888.608079,1035.0871
13.1062682,987,-28.6758283,881.779884,1015.67583
13.1267035,1015,17.6021053,874.996388,997.397895
13.1471388,1004,23.7677821,868.257466,980.232218
13.1675741,911,-53.123883,861.562993,964.123883
13.1880094,878,-70.9993975,854.912844,948.999397
13.2084447,829,-105.777174,848.306892,934.777174
13.2288801,854,-67.3743426,841.745008,921.374343
13.2493154,869,-39.7109094,835.227062,908.710909
13.2697507,879,-17.7120881,828.752926,896.712088
13.290186,837,-48.3094213,822.322467,885.309421
13.3106213,824,-50.4411329,815.935553,874.441133
13.3310566,827,-37.0520164,809.592051,864.052016
13.351492,827,-27.093061,803.291825,854.093061
13.3719273,769,-75.5231006,797.034741,844.523101
13.3923626,809,-26.3063468,790.820661,835.306347
13.4127979,756,-70.4055147,784.649449,826.405515
13.4332332,773,-44.782697,778.520967,817.782697
13.4536685,764,-45.4193387,772.435074,809.419339
13.4741039,697,-104.292543,766.39163,801.292543
13.4945392,768,-25.4008283,760.390496,793.400828
13.5149745,710,-75.7231625,754.431527,785.723163
13.5354098,714,-64.1952185,748.514583,778.195219
13.5558451,746,-24.8362532,742.639519,770.836253
13.5762804,707,-56.6339294,736.80619,763.633929
13.5967158,728,-28.577289,731.014451,756.577289
13.6171511,674,-75.6565797,725.264157,749.65658
13.6375864,717,-25.8631057,719.55516,742.863106
13.6580217,654,-82.1890979,713.887312,736.189098
13.678457,673,-56.6276011,708.260466,729.627601
13.6988923,754,30.8276236,702.674472,723.172376
13.7193277,667,-49.8178167,697.12918,716.817817
13.739763,639,-71.5588727,691.62444,710.558873
13.7601983,679,-25.3909888,686.1601,704.390989
13.7806336,616,-82.3100471,680.736009,698.310047
13.8010689,639,-53.3123185,675.352014,692.312319
13.8215042,586,-100.39442,670.007962,686.39442
13.8419396,635,-45.5532775,664.7037,680.553277
13.8623749,660,-14.7860921,659.439072,674.786092
13.8828102,607,-62.0903122,654.213923,669.090312
13.9032455,633,-30.4636077,649.028099,663.463608
13.9236808,546,-111.903848,643.881443,657.903848
13.9441161,594,-58.4144872,638.773798,652.414487
13.9645515,547,-99.983142,633.705006,646.983142
13.9849868,581,-60.6132473,628.674912,641.613247
14.0054221,573,-63.3034074,623.683355,636.303407
14.0258574,622,-9.0522339,618.730177,631.052234
14.0462927,592,-33.8584488,613.815218,625.858449
14.066728,547,-73.7208752,608.93832,620.720875
14.0871634,565,-50.6384284,604.099322,615.638428
14.1075987,551,-59.6101094,599.298063,610.610109
14.128034,504,-101.634997,594.534383,605.634997
14.1484693,529,-71.7122444,589.808118,600.712244
14.1689046,552,-43.8410709,585.119109,595.841071
14.1893399,547,-44.0207602,580.467192,591.02076
14.2097753,554,-32.2506552,575.852205,586.250655
14.2302106,547,-34.5301551,571.273984,581.530155
14.2506459,514,-62.8587126,566.732367,576.858713
14.2710812,522,-50.2358312,562.227189,572.235831
14.2915165,543,-24.6610636,557.758287,567.661064
14.3119518,489,-74.1340099,553.325496,563.13401
14.3323872,508,-50.6543166,548.928651,558.654317
14.3528225,535,-19.2216758,544.567587,554.221676
14.3732578,499,-50.8358251,540.24214,549.835825
14.3936931,471,-74.4965469,535.952143,545.496547
14.4141284,472,-69.2036697,531.697431,541.20367
14.4345637,481,-55.9570682,527.477837,536.957068
14.4549991,453,-79.7566649,523.293196,532.756665
14.4754344,464,-64.6024316,519.143341,528.602432
14.4958697,446,-78.4943917,515.028104,524.494392
14.516305,443,-77.4326228,510.94732,520.432623
14.5367403,460,-56.4172598,506.900821,516.41726
14.5571756,437,-75.4484991,502.88844,512.448499
14.577611,443,-65.5266028,498.910008,508.526603
14.5980463,476,-28.6519044,494.965359,504.651904
14.6184816,454,-46.8248148,491.054325,500.824815
14.6389169,457,-40.0458296,487.176738,497.04583
14.6593522,468,-25.3155376,483.332429,493.315538
14.6797875,425,-64.6346306,479.521231,489.634631
14.7002229,450,-36.0039144,475.742976,486.003914
14.7206582,417,-65.424322,471.997494,482.424322
14.7410935,402,-76.8969288,468.284617,478.896929
14.7615288,424,-51.4229699,464.604177,475.42297
14.7819641,411,-61.0038605,460.956005,472.00386
14.8023994,449,-19.6412193,457.339933,468.641219
14.8228348,444,-21.3368962,453.755792,465.336896
14.8432701,421,-41.0930043,450.203412,462.093004
14.8637054,424,-34.9119574,446.682626,458.911957
