'y-axis saved as y
'x,PKT-3-105-3_BMY2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
11.5123134,2078,83.712249,1994.28775,1994.28775
11.5327488,2178,193.760986,1984.23901,1984.23901
11.5531841,2165,190.786041,1974.21396,1974.21396
11.5736194,2229,264.7871,1964.2129,1964.2129
11.5940547,2151,196.763857,1954.23614,1954.23614
11.61449,2116,171.716009,1944.28399,1944.28399
11.6349253,2137,202.643258,1934.35674,1934.35674
11.6553607,2110,185.545313,1924.45469,1924.45469
11.675796,2101,186.421885,1914.57811,1914.57811
11.6962313,2053,148.272694,1904.72731,1904.72731
11.7166666,1984,89.0974599,1894.90254,1894.90254
11.7371019,2110,224.895911,1885.10409,1885.10409
11.7575372,2012,136.66778,1875.33222,1875.33222
11.7779726,1991,125.412804,1865.5872,1865.5872
11.7984079,1987,131.130723,1855.86928,1855.86928
11.8188432,2132,285.821284,1846.17872,1846.17872
11.8392785,2049,212.484238,1836.51576,1836.51576
11.8597138,2025,198.119341,1826.88066,1826.88066
11.8801491,1971,153.726352,1817.27365,1817.27365
11.9005845,2044,236.305036,1807.69496,1807.69496
11.9210198,1973,174.855163,1798.14484,1798.14484
11.9414551,1968,179.376505,1788.6235,1788.6235
11.9618904,1950,170.86884,1779.13116,1779.13116
11.9823257,1950,180.331952,1769.66805,1769.66805
12.002761,1970,209.765626,1760.23437,1760.23437
12.0231964,1936,185.169653,1750.83035,1750.83035
12.0436317,1979,237.543828,1741.45617,1741.45617
12.064067,1895,162.887951,1732.11205,1732.11205
12.0845023,1871,148.201826,1722.79817,1722.79817
12.1049376,1881,167.485259,1713.51474,1713.51474
12.1253729,1919,214.738062,1704.26194,1704.26194
12.1458083,1858,162.960052,1695.03995,1695.03995
12.1662436,1900,214.151049,1685.84895,1685.84895
12.1866789,1848,171.310875,1676.68913,1676.68913
12.2071142,1841,173.439358,1667.56064,1667.56064
12.2275495,1785,126.536332,1658.46367,1658.46367
12.2479848,1832,182.60163,1649.39837,1649.39837
12.2684202,1810,169.635093,1640.36491,1640.36491
12.2888555,1818,186.636563,1631.36344,1631.36344
12.3092908,1792,169.605887,1622.39411,1622.39411
12.3297261,1819,205.542912,1613.45708,1613.45709
12.3501614,1792,187.447479,1604.55249,1604.55252
