'y-axis saved as y
'x,PKT-3-111-4_NaMn2O4_YOCl_Y2(CO3)3_650_24_O2.raw,Diff,Ycalc,Bkg
11.7371019,1789,195.44858,1593.55142,1592.78393
11.7575372,1771,187.533147,1583.46685,1582.73483
11.7779726,1675,101.580818,1573.41918,1572.71372
11.7984079,1731,167.592688,1563.40731,1562.72094
11.8188432,1696,142.569471,1553.43053,1552.75686
11.8392785,1723,179.511588,1543.48841,1542.82181
11.8597138,1623,89.4192327,1533.58077,1532.91613
11.8801491,1672,148.292418,1523.70758,1523.04015
11.9005845,1686,172.130997,1513.869,1513.1942
11.9210198,1696,191.934678,1504.06532,1503.37859
11.9414551,1558,63.7030247,1494.29698,1493.59364
11.9618904,1677,192.435447,1484.56455,1483.83965
11.9823257,1639,164.131173,1474.86883,1474.11692
12.002761,1686,220.789208,1465.21079,1464.42575
12.0231964,1657,201.408267,1455.59173,1454.76644
12.0436317,1619,172.98667,1446.01333,1445.13925
12.064067,1636,199.522192,1436.47781,1435.54447
12.0845023,1656,229.011841,1426.98816,1425.98238
12.1049376,1536,118.451565,1417.54843,1416.45323
12.1253729,1657,248.835871,1408.16413,1406.9573
12.1458083,1616,217.157365,1398.84263,1397.49483
12.1662436,1530,140.406237,1389.59376,1388.06608
12.1866789,1455,74.5697266,1380.43027,1378.6713
12.2071142,1457,85.6316018,1371.3684,1369.31072
12.2275495,1591,228.573872,1362.42613,1359.98458
12.2479848,1522,168.390375,1353.60963,1350.69311
12.2684202,1540,195.1077,1344.8923,1341.43653
12.2888555,1496,159.781306,1336.21869,1332.21506
12.3092908,1415,87.5020888,1327.49791,1323.02893
12.3297261,1537,218.389804,1318.6102,1313.87833
12.3501614,1448,138.520343,1309.47966,1304.76347
12.3705967,1431,130.862603,1300.1374,1295.68455
12.3910321,1450,159.294628,1290.70537,1286.64177
12.4114674,1464,182.680846,1281.31915,1277.63532
12.4319027,1465,192.934595,1272.06541,1268.66538
12.452338,1525,262.027407,1262.97259,1259.73213
12.4727733,1447,192.964561,1254.03544,1250.83575
12.4932086,1381,135.760035,1245.23997,1241.97642
12.513644,1412,175.423833,1236.57617,1233.15429
12.5340793,1494,265.958201,1228.0418,1224.36953
12.5545146,1473,253.356974,1219.64303,1215.62229
12.5749499,1564,352.60507,1211.39493,1206.91274
12.5953852,1508,304.677038,1203.32296,1198.24102
12.6158205,1515,319.534297,1195.4657,1189.60727
12.6362559,1463,275.120927,1187.87907,1181.01164
12.6566912,1352,171.358013,1180.64199,1172.45425
12.6771265,1452,278.136736,1173.86326,1163.93525
12.6975618,1387,219.312516,1167.68748,1155.45476
12.7179971,1355,192.708933,1162.29107,1147.01291
12.7384325,1343,185.133392,1157.86661,1138.6098
12.7588678,1306,151.407277,1154.59272,1130.24557
12.7793031,1289,136.490681,1152.50932,1121.92031
12.7997384,1274,122.723863,1151.27614,1113.63415
12.8201737,1244,94.1188321,1149.88117,1105.38717
12.840609,1254,107.404597,1146.5954,1097.17948
12.8610444,1290,150.366401,1139.6336,1089.01118
12.8814797,1245,116.640338,1128.35966,1080.88235
12.901915,1203,89.1541143,1113.84589,1072.79309
12.9223503,1231,132.897723,1098.10228,1064.74348
12.9427856,1090,7.13073323,1082.86927,1056.7336
12.9632209,1095,25.9965952,1069.0034,1048.76353
12.9836563,1164,107.397008,1056.60299,1040.83333
13.0040916,1060,14.5808195,1045.41918,1032.94309
13.0245269,1170,134.853375,1035.14663,1025.09286
